iter	Logloss
0	0.6334296546
1	0.5910996301
2	0.5606138675
3	0.5319537429
4	0.5071945365
5	0.4938276627
6	0.480869858
7	0.4705956384
8	0.4634298983
9	0.4529576624
10	0.4474365273
11	0.4428389217
12	0.4392502558
13	0.4339530092
14	0.4305505137
15	0.4279733147
16	0.4259612837
17	0.4241091227
18	0.4227752777
19	0.4206946693
20	0.4191552306
21	0.4180977852
22	0.4171829232
23	0.4162482463
24	0.4153024604
25	0.4144628551
26	0.4129556291
27	0.4117377454
28	0.4112776682
29	0.4102272443
30	0.4096659292
31	0.4085282922
32	0.4079314626
33	0.4076170624
34	0.407055057
35	0.4064299606
36	0.4059776531
37	0.4053556057
38	0.4046820708
39	0.404085241
40	0.4036000184
41	0.4030600663
42	0.402609298
43	0.4022787665
44	0.4018881686
45	0.401614148
46	0.4010873009
47	0.4007522334
48	0.400395992
49	0.3999696857
50	0.399566193
51	0.3991309832
52	0.3984863696
53	0.3983409351
54	0.397893339
55	0.3976903633
56	0.3973562098
57	0.3971696457
58	0.3968254801
59	0.3965021842
60	0.3961349135
61	0.3957450566
62	0.3954330512
63	0.39518493
64	0.3949065418
65	0.3946382667
66	0.3943616979
67	0.3941324474
68	0.3939413119
69	0.393612938
70	0.3929513035
71	0.3927630097
72	0.3924259818
73	0.3922078423
74	0.3919807606
75	0.3916634468
76	0.3912275238
77	0.3909399223
78	0.3906918683
79	0.3902594802
80	0.3899822287
81	0.3897120266
82	0.3893799658
83	0.3891605503
84	0.3887482941
85	0.388389514
86	0.3882266331
87	0.3878468228
88	0.387677053
89	0.3874597968
90	0.3871679865
91	0.3867821476
92	0.3864994979
93	0.3862489501
94	0.3860411946
95	0.3858529334
96	0.3857153431
97	0.3851310657
98	0.3847083832
99	0.3843911313
