iter	Passed	Remaining
0	65	6480
1	69	3429
2	74	2396
3	77	1869
4	82	1559
5	90	1419
6	99	1318
7	102	1175
8	106	1080
9	112	1010
10	115	933
11	119	879
12	125	839
13	130	804
14	137	779
15	140	738
16	145	711
17	147	674
18	150	639
19	152	610
20	154	582
21	157	557
22	159	534
23	161	512
24	163	491
25	165	472
26	167	452
27	169	436
28	171	420
29	173	405
30	175	391
31	177	376
32	179	363
33	180	350
34	182	338
35	184	327
36	185	316
37	187	306
38	189	296
39	191	287
40	193	278
41	195	270
42	197	262
43	199	253
44	201	246
45	203	239
46	205	232
47	208	225
48	209	218
49	211	211
50	213	204
51	215	198
52	217	192
53	219	186
54	221	181
55	223	175
56	225	170
57	227	165
58	230	159
59	232	154
60	234	149
61	236	144
62	238	140
63	240	135
64	242	130
65	244	126
66	246	121
67	248	116
68	250	112
69	252	108
70	254	103
71	256	99
72	258	95
73	260	91
74	262	87
75	266	84
76	270	80
77	276	78
78	282	75
79	288	72
80	295	69
81	302	66
82	310	63
83	316	60
84	327	57
85	329	53
86	336	50
87	338	46
88	340	42
89	350	38
90	354	35
91	356	31
92	366	27
93	372	23
94	379	19
95	389	16
96	391	12
97	401	8
98	403	4
99	412	0
