iter	Passed	Remaining
0	18	5422
1	33	5045
2	50	4957
3	66	4908
4	81	4817
5	98	4807
6	112	4711
7	129	4715
8	144	4658
9	162	4719
10	180	4729
11	196	4724
12	211	4662
13	227	4637
14	243	4619
15	257	4568
16	273	4561
17	287	4510
18	304	4501
19	326	4576
20	354	4715
21	384	4855
22	407	4909
23	423	4864
24	438	4827
25	452	4769
26	466	4716
27	484	4704
28	501	4688
29	519	4671
30	533	4625
31	546	4576
32	560	4537
33	575	4501
34	583	4418
35	593	4352
36	602	4279
37	611	4212
38	620	4155
39	628	4082
40	638	4030
41	646	3973
42	654	3912
43	665	3869
44	672	3809
45	682	3769
46	691	3723
47	700	3676
48	715	3665
49	728	3642
50	738	3606
51	746	3558
52	757	3528
53	764	3484
54	773	3445
55	783	3415
56	793	3381
57	800	3341
58	809	3307
59	819	3279
60	833	3267
61	853	3275
62	872	3280
63	882	3255
64	890	3220
65	900	3192
66	909	3161
67	918	3133
68	926	3103
69	938	3082
70	955	3081
71	972	3080
72	989	3076
73	1005	3070
74	1019	3059
75	1036	3054
76	1051	3046
77	1068	3042
78	1083	3031
79	1099	3023
80	1114	3013
81	1129	3002
82	1144	2991
83	1161	2987
84	1177	2978
85	1189	2959
86	1196	2930
87	1205	2904
88	1215	2881
89	1222	2853
90	1232	2829
91	1241	2807
92	1251	2784
93	1258	2756
94	1266	2733
95	1275	2709
96	1287	2693
97	1294	2668
98	1303	2646
99	1313	2626
100	1320	2602
101	1329	2581
102	1339	2562
103	1347	2538
104	1356	2518
105	1366	2500
106	1375	2480
107	1382	2457
108	1391	2437
109	1399	2417
110	1409	2399
111	1417	2379
112	1427	2362
113	1442	2354
114	1457	2344
115	1467	2327
116	1483	2319
117	1508	2327
118	1525	2320
119	1539	2309
120	1548	2290
121	1559	2274
122	1567	2256
123	1575	2236
124	1586	2220
125	1595	2203
126	1602	2183
127	1613	2167
128	1632	2164
129	1658	2168
130	1674	2160
131	1689	2150
132	1703	2138
133	1720	2131
134	1738	2124
135	1754	2115
136	1768	2104
137	1781	2091
138	1795	2079
139	1808	2067
140	1823	2056
141	1842	2050
142	1861	2043
143	1876	2032
144	1891	2021
145	1907	2011
146	1923	2002
147	1938	1990
148	1955	1981
149	1969	1969
150	1985	1959
151	2001	1948
152	2016	1937
153	2033	1927
154	2043	1912
155	2054	1896
156	2062	1878
157	2069	1859
158	2078	1843
159	2088	1827
160	2097	1811
161	2106	1794
162	2114	1776
163	2126	1763
164	2137	1748
165	2146	1732
166	2153	1714
167	2162	1699
168	2171	1683
169	2180	1667
170	2187	1650
171	2197	1635
172	2205	1619
173	2219	1607
174	2235	1596
175	2245	1582
176	2254	1566
177	2261	1550
178	2271	1535
179	2281	1520
180	2288	1504
181	2298	1490
182	2309	1476
183	2317	1461
184	2326	1446
185	2335	1431
186	2344	1416
187	2352	1401
188	2366	1390
189	2376	1376
190	2385	1361
191	2394	1346
192	2401	1331
193	2425	1325
194	2439	1313
195	2448	1299
196	2456	1284
197	2468	1271
198	2476	1257
199	2486	1243
200	2493	1228
201	2503	1214
202	2513	1201
203	2522	1186
204	2529	1172
205	2543	1160
206	2560	1150
207	2575	1138
208	2591	1128
209	2606	1117
210	2630	1109
211	2645	1098
212	2661	1087
213	2673	1074
214	2683	1061
215	2692	1047
216	2700	1032
217	2709	1019
218	2719	1005
219	2728	992
220	2735	977
221	2744	964
222	2758	952
223	2772	940
224	2786	928
225	2802	917
226	2823	907
227	2841	897
228	2857	885
229	2873	874
230	2891	863
231	2905	851
232	2923	840
233	2938	828
234	2956	817
235	2974	806
236	2990	794
237	3004	782
238	3023	771
239	3040	760
240	3057	748
241	3073	736
242	3091	725
243	3108	713
244	3124	701
245	3138	688
246	3152	676
247	3171	664
248	3187	652
249	3205	641
250	3221	628
251	3236	616
252	3251	604
253	3264	591
254	3279	578
255	3297	566
256	3314	554
257	3331	542
258	3346	529
259	3360	516
260	3374	504
261	3393	492
262	3411	479
263	3424	467
264	3438	454
265	3452	441
266	3469	428
267	3485	416
268	3499	403
269	3513	390
270	3531	377
271	3550	365
272	3565	352
273	3579	339
274	3595	326
275	3613	314
276	3629	301
277	3644	288
278	3658	275
279	3672	262
280	3691	249
281	3709	236
282	3724	223
283	3737	210
284	3751	197
285	3766	184
286	3785	171
287	3801	158
288	3810	145
289	3838	132
290	3847	118
291	3856	105
292	3865	92
293	3874	79
294	3882	65
295	3892	52
296	3901	39
297	3912	26
298	3925	13
299	3935	0
